Name,Twitter Handle,Twitter URL,Followers,Angel Score,Email,LinkedIn,Website,Location,Bio
ImpactAlpha,@impactalpha,https://x.com/ImpactAlpha,16772,0.31,,,http://www.impactalpha.com,San Francisco,"Your trusted source for impact investing, ESG and sustainable finance news. Join other Agents of Impact and subscribe today: https://t.co/c70T3UUCs7"
Boardy,@boardyai,https://x.com/boardyai,11875,0.31,,,http://boardy.ai,Everywhere,"I'm an AI superconnector helping 10,000 founders raise their round by EOY."
Gautam Rajesh Shelley ⚡,@gautamrshelley,https://x.com/gautamrshelley,1029,0.31,,,https://aisensy.com/,"Gurgaon, India","Founder - @aisensy_wa 150,000+ Businesses use our platform to send 5bn+ WhatsApp messages to their users"
anand iyer,@ai,https://x.com/ai,49612,0.31,,,http://canonical.cc,"San Francisco, CA","Managing partner Canonical · Venture Partner Lightspeed · Father · Husband ·  Few-shotting tech, open source"
Agam Chaudhary,@agamchaudhary_,https://x.com/agamchaudhary_,3757,0.31,,,http://Two99.Org,Dubai,"Founder & CEO, Two99 | Building AI, cybersecurity & marketing infrastructure across USA, GCC, India & SEA | Creator -- Binary Wall, GenShark, MarkGrid"
Jesse Landry,@jessedlandry,https://x.com/JesseDLandry,1158,0.31,,,https://devcuration.com/,"Oceanside, New York","Founder & CEO, DevCuration - Building the Signal Layer for the Tech Ecosystem"
Punit Jain,@punit__jain,https://x.com/punit__jain,5159,0.31,,,https://reskilll.com/,,"Founder @Reskilll | 4.4M developers, 3,500+ hackathons | Scaling Web3 & AI ecosystems in India"
Arena Magazine,@arenamagdotcom,https://x.com/arenamagdotcom,10842,0.31,,,https://arenamag.com/subscribe?utm_source=xdotcom,United States of America,"A magazine and publisher for American technology, capitalism, and civilization. Four luxury prints per year — subscribe online today!"
Moonshot Commons | Where Web3 founders build,@buildmoonshot,https://x.com/buildmoonshot,5108,0.31,,,http://moonshotcommons.com,"Basement, now going 🌎","HQed in HK and NYC, we're a global community for Web3 founders to learn, build, and scale. Our community members raised $110m+ from VCs. Powered by @H"
Sovereign AI,@uksovereignai,https://x.com/UKSovereignAI,4833,0.31,,,https://www.sovereignai.gov.uk/,United Kingdom,"Backing Britain's AI Founders to start here, scale here, and win everywhere"
Founders Factory,@foundersfactory,https://x.com/foundersfactory,10362,0.31,,,http://foundersfactory.com,London,We build & fund startups together with visionary entrepreneurs and the world's leading companies.
Stephanie (unfiltered),@ladyinvisibl,https://x.com/ladyinvisibl,10628,0.31,,,https://x.com/stephstranko,📍🌽 doing things ,"this is now a niche account
formerly known as lady invisible 💙
Stephanie Stranko - founder @ikwe_ai"
Admiano.id,@admiano,https://x.com/Admiano,24597,0.31,,,https://nft.nexid.fun/,,Founder of @UseNexID. Building the infrastructure for verifiable truth onchain. Lagos 🇳🇬. Genesis Pass live ↓
ChainGPT Labs,@chaingpt_labs,https://x.com/ChainGPT_Labs,112398,0.30,,,https://labs.chaingpt.org,,"Investing & Incubating the future of Web3 AI.

@Chain_GPT | @ChainGPT_Pad | $CGPT Token"
